"","证券代码","申万一级行业","净利润..报告期..1993一季..报表类型..合并报表..单位..元","净利润..报告期..1993中报..报表类型..合并报表..单位..元","净利润..报告期..1993三季..报表类型..合并报表..单位..元","净利润..报告期..1993年报..报表类型..合并报表..单位..元","净利润..报告期..1994一季..报表类型..合并报表..单位..元","净利润..报告期..1994中报..报表类型..合并报表..单位..元","净利润..报告期..1994三季..报表类型..合并报表..单位..元","净利润..报告期..1994年报..报表类型..合并报表..单位..元","净利润..报告期..1995一季..报表类型..合并报表..单位..元","净利润..报告期..1995中报..报表类型..合并报表..单位..元","净利润..报告期..1995三季..报表类型..合并报表..单位..元","净利润..报告期..1995年报..报表类型..合并报表..单位..元","净利润..报告期..1996一季..报表类型..合并报表..单位..元","净利润..报告期..1996中报..报表类型..合并报表..单位..元","净利润..报告期..1996三季..报表类型..合并报表..单位..元","净利润..报告期..1996年报..报表类型..合并报表..单位..元","净利润..报告期..1997一季..报表类型..合并报表..单位..元","净利润..报告期..1997中报..报表类型..合并报表..单位..元","净利润..报告期..1997三季..报表类型..合并报表..单位..元","净利润..报告期..1997年报..报表类型..合并报表..单位..元","净利润..报告期..1998一季..报表类型..合并报表..单位..元","净利润..报告期..1998中报..报表类型..合并报表..单位..元","净利润..报告期..1998三季..报表类型..合并报表..单位..元","净利润..报告期..1998年报..报表类型..合并报表..单位..元","净利润..报告期..1999一季..报表类型..合并报表..单位..元","净利润..报告期..1999中报..报表类型..合并报表..单位..元","净利润..报告期..1999三季..报表类型..合并报表..单位..元","净利润..报告期..1999年报..报表类型..合并报表..单位..元","净利润..报告期..2000一季..报表类型..合并报表..单位..元","净利润..报告期..2000中报..报表类型..合并报表..单位..元","净利润..报告期..2000三季..报表类型..合并报表..单位..元","净利润..报告期..2000年报..报表类型..合并报表..单位..元","净利润..报告期..2001一季..报表类型..合并报表..单位..元","净利润..报告期..2001中报..报表类型..合并报表..单位..元","净利润..报告期..2001三季..报表类型..合并报表..单位..元","净利润..报告期..2001年报..报表类型..合并报表..单位..元","净利润..报告期..2002一季..报表类型..合并报表..单位..元","净利润..报告期..2002中报..报表类型..合并报表..单位..元","净利润..报告期..2002三季..报表类型..合并报表..单位..元","净利润..报告期..2002年报..报表类型..合并报表..单位..元","净利润..报告期..2003一季..报表类型..合并报表..单位..元","净利润..报告期..2003中报..报表类型..合并报表..单位..元","净利润..报告期..2003三季..报表类型..合并报表..单位..元","净利润..报告期..2003年报..报表类型..合并报表..单位..元","净利润..报告期..2004一季..报表类型..合并报表..单位..元","净利润..报告期..2004中报..报表类型..合并报表..单位..元","净利润..报告期..2004三季..报表类型..合并报表..单位..元","净利润..报告期..2004年报..报表类型..合并报表..单位..元","净利润..报告期..2005一季..报表类型..合并报表..单位..元","净利润..报告期..2005中报..报表类型..合并报表..单位..元","净利润..报告期..2005三季..报表类型..合并报表..单位..元","净利润..报告期..2005年报..报表类型..合并报表..单位..元","净利润..报告期..2006一季..报表类型..合并报表..单位..元","净利润..报告期..2006中报..报表类型..合并报表..单位..元","净利润..报告期..2006三季..报表类型..合并报表..单位..元","净利润..报告期..2006年报..报表类型..合并报表..单位..元","净利润..报告期..2007一季..报表类型..合并报表..单位..元","净利润..报告期..2007中报..报表类型..合并报表..单位..元","净利润..报告期..2007三季..报表类型..合并报表..单位..元","净利润..报告期..2007年报..报表类型..合并报表..单位..元","净利润..报告期..2008一季..报表类型..合并报表..单位..元","净利润..报告期..2008中报..报表类型..合并报表..单位..元","净利润..报告期..2008三季..报表类型..合并报表..单位..元","净利润..报告期..2008年报..报表类型..合并报表..单位..元","净利润..报告期..2009一季..报表类型..合并报表..单位..元","净利润..报告期..2009中报..报表类型..合并报表..单位..元","净利润..报告期..2009三季..报表类型..合并报表..单位..元","净利润..报告期..2009年报..报表类型..合并报表..单位..元","净利润..报告期..2010一季..报表类型..合并报表..单位..元","净利润..报告期..2010中报..报表类型..合并报表..单位..元","净利润..报告期..2010三季..报表类型..合并报表..单位..元","净利润..报告期..2010年报..报表类型..合并报表..单位..元","净利润..报告期..2011一季..报表类型..合并报表..单位..元","净利润..报告期..2011中报..报表类型..合并报表..单位..元","净利润..报告期..2011三季..报表类型..合并报表..单位..元","净利润..报告期..2011年报..报表类型..合并报表..单位..元","净利润..报告期..2012一季..报表类型..合并报表..单位..元","净利润..报告期..2012中报..报表类型..合并报表..单位..元","净利润..报告期..2012三季..报表类型..合并报表..单位..元","净利润..报告期..2012年报..报表类型..合并报表..单位..元","净利润..报告期..2013一季..报表类型..合并报表..单位..元","净利润..报告期..2013中报..报表类型..合并报表..单位..元","净利润..报告期..2013三季..报表类型..合并报表..单位..元","净利润..报告期..2013年报..报表类型..合并报表..单位..元","净利润..报告期..2014一季..报表类型..合并报表..单位..元","净利润..报告期..2014中报..报表类型..合并报表..单位..元","净利润..报告期..2014三季..报表类型..合并报表..单位..元","净利润..报告期..2014年报..报表类型..合并报表..单位..元","净利润..报告期..2015一季..报表类型..合并报表..单位..元","净利润..报告期..2015中报..报表类型..合并报表..单位..元","净利润..报告期..2015三季..报表类型..合并报表..单位..元","净利润..报告期..2015年报..报表类型..合并报表..单位..元","净利润..报告期..2016一季..报表类型..合并报表..单位..元","净利润..报告期..2016中报..报表类型..合并报表..单位..元","净利润..报告期..2016三季..报表类型..合并报表..单位..元","净利润..报告期..2016年报..报表类型..合并报表..单位..元","净利润..报告期..2017一季..报表类型..合并报表..单位..元","净利润..报告期..2017中报..报表类型..合并报表..单位..元","净利润..报告期..2017三季..报表类型..合并报表..单位..元","净利润..报告期..2017年报..报表类型..合并报表..单位..元"
"11","000012.SZ","建筑材料","","","","173,278,402.0500","","98,276,073.5900",NA,"195,404,425.9300","","97,099,880.2000","","164,542,125.4800","","83,528,343.0400","","178,478,000.5400","","64,597,461.0400",NA,"125,742,246.3700","","28,359,105.8300","","30,880,319.5200","","15,092,772.2200",NA,"-165,492,718.8100","","81,381,533.6500","","171,535,140.2000","","80,116,098.1900","125,890,591.0000","152,268,602.0000","31,576,210.0000","88,874,842.0000","139,049,756.0000","177,016,177.0000","39,806,950.0000","97,914,927.0000","167,636,621.0000","217,208,388.0000","89,973,182.0000","199,893,508.0000","299,867,927.0000","368,874,172.0000","62,010,595.0000","173,520,227.0000","291,534,686.0000","378,687,775.0000","60,296,912.0000","187,547,666.0000","317,367,196.0000","416,814,140.0000","70,198,792.0000","191,861,841.0000","386,124,026.0000","567,254,967.0000","226,019,311.0000","459,690,780.0000","613,800,070.0000","500,231,812.0000","69,448,714.0000","288,976,362.0000","630,055,992.0000","914,609,491.0000","332,714,626.0000","701,678,616.0000","1,144,782,522.0000","1,596,958,348.0000","450,734,031.0000","918,787,433.0000","1,231,968,418.0000","1,337,516,285.0000","143,684,132.0000","294,008,045.0000","478,856,414.0000","369,806,756.0000","129,692,741.0000","411,830,510.0000","728,650,042.0000","1,675,314,397.0000","133,187,083.0000","617,196,948.0000","780,126,104.0000","939,764,732.0000","89,811,307.0000","220,596,420.0000","408,952,566.0000","639,832,667.0000","204,835,467.0000","465,301,322.0000","718,660,205.0000","804,226,524.0000","176,240,910.0000","400,214,048.0000","721,822,345.0000","828,636,035.0000"
"20","000023.SZ","建筑材料","","17,670,500.0000","","33,328,165.7300","","22,745,722.1900",NA,"45,989,903.9100","","16,318,983.3800","","16,936,102.4300","","-8,578,663.2400","","-488,659.2800","","27,562,640.3300",NA,"34,519,794.6000","","6,019,618.0100","","27,640,067.3800","","6,245,604.2200",NA,"27,637,109.8900","","9,666,960.5500","","19,363,070.2200","","1,642,897.3000","","-179,100,564.5200","-7,164,240.0900","4,288,120.1200","6,030,818.8000","10,522,762.5700","-3,082,484.7900","927,687.3200","2,199,932.6700","9,805,326.2800","-2,470,671.6000","-4,706,491.6900","-6,084,914.7500","15,851,764.3500","-2,905,694.8900","242,435.8200","-4,093,075.9800","-30,637,882.7800","-8,394,076.7100","-5,361,054.2200","7,560,344.4800","28,430,312.2800","17,742,577.8100","12,229,214.4400","3,038,640.2000","14,773,516.7800","-6,586,097.0500","3,143,184.2000","4,322,581.7900","21,613,246.9800","-6,827,012.1500","-1,982,333.3700","8,931,259.6800","24,432,962.4300","-11,359,114.6400","-3,009,464.5100","9,979,733.8500","13,052,755.0200","2,089,166.3800","725,633.4500","21,661.5100","9,100,204.6600","-9,421,998.3900","-10,392,492.2000","-10,736,984.5900","5,131,099.0900","-12,156,393.1100","5,782,046.0300","8,039,718.8300","11,822,530.0000","-5,688,295.2300","-675,925.4000","14,562,517.2000","15,066,368.7400","-3,370,694.7300","10,791,890.7500","28,162,486.3000","26,633,940.5400","61,676.3700","9,624,870.2500","13,276,381.2900","15,828,541.4300","8,988,305.9900","16,968,078.4200","33,596,573.3800","28,688,798.5100"
"76","000401.SZ","建筑材料","","","","170,921,000.0000","","",NA,"161,248,000.0000","","","","150,432,869.5900","","85,665,554.3900","","162,486,611.6900","","71,295,651.0400",NA,"157,027,743.4400","","63,971,508.7000","","142,175,259.9800","","46,983,917.0300",NA,"105,493,788.6400","","47,467,678.0700","","93,151,625.4800","","41,525,195.8800","","117,245,185.2900","-5,773,140.9100","28,279,740.3100","84,140,242.1100","106,654,092.0500","629,953.2700","44,602,808.1000","108,146,527.6900","150,925,529.5200","12,321,064.8400","59,331,321.7200","114,567,166.2500","145,037,282.4500","-11,074,669.5700","50,795,242.9100","97,876,343.3100","136,916,541.8500","-1,093,695.3000","85,027,805.9600","166,667,047.6100","227,321,993.9500","-15,288,882.0500","167,951,484.0900","371,366,035.4600","420,884,577.9700","-20,760,148.5000","178,502,794.4500","399,014,611.6200","521,848,142.8200","-20,059,310.9900","336,723,288.4400","798,478,512.7400","1,064,437,546.7400","27,529,685.2500","598,303,875.9500","1,224,239,312.4000","1,568,499,370.5400","3,588,103.7700","835,109,542.2700","1,522,831,094.5600","1,581,642,876.5400","-291,986,503.0500","86,697,050.7900","212,689,702.8100","137,982,044.8800","-470,660,442.6300","-241,722,887.3000","80,094,906.9600","198,723,998.0200","-537,025,156.3900","-329,371,836.5000","-195,371,624.0600","-277,480,561.1800","-719,317,806.6500","-51,385,904.4600","-902,223,399.8100","-2,150,344,091.4600","-885,635,787.9800","-1,027,938,985.4500","-533,964,061.2700","-23,653,370.9700","-411,917,754.3600","-94,541,189.6400","378,639,685.3700","131,133,753.8500"
"109","000509.SZ","建筑材料","","21,165,081.6000","","46,304,959.9400","","28,614,033.2400",NA,"36,300,280.1900","","11,066,800.0000","","2,521,133.1600","","1,763,000.0000","","9,850,338.5800","","1,757,700.0000",NA,"-47,060,404.5400","","275,726.7900","","73,470,245.3300","","29,588,595.2800",NA,"29,572,903.3300","","24,903,967.5500","","31,317,863.2200","","27,975,338.7100","26,650,368.3000","22,173,200.3200","-3,750,000.0000","-20,994,441.8400","-32,994,254.5700","-256,916,059.3800","-3,400,273.2400","4,454,936.5900","13,216,484.0900","11,506,487.0800","4,296,850.3300","8,873,574.5600","14,252,791.2300","-29,732,643.9600","3,694,247.3700","5,602,844.2200","7,045,689.0100","-166,479,537.6600","-1,769,370.3700","7,116,791.6300","1,860,187.5800","20,609,410.1000","-14,596,590.3500","-34,446,110.4700","-42,141,047.6200","12,136,414.3400","2,743,714.8600","-28,277,439.9800","-108,412,365.5200","-143,507,966.3400","-9,292,048.6400","-9,924,448.5700","-9,721,426.5100","-42,554,792.6800","-12,343,102.4900","-18,344,796.6100","-12,509,197.1700","7,955,782.1200","-25,256,458.3200","-54,361,898.5400","-70,821,138.9400","-120,109,052.9600","1,892,717.1500","6,421,843.9300","735,761.7400","-92,988,221.9400","-7,882,445.1200","-26,044,943.2400","-29,148,430.2300","15,871,135.5200","1,230,758.2800","-27,563,480.9500","10,421,105.9800","-54,955,055.5700","-12,195,617.9700","-22,666,652.6100","-29,099,434.1200","19,848,603.3900","-9,015,545.8300","-25,149,523.3200","-34,449,795.9900","-74,809,936.0400","-4,514,042.5600","-10,853,875.8600","-15,520,787.2000","12,374,263.9900"
"139","000546.SZ","建筑材料","","","","22,421,310.0500","","15,235,606.4900",NA,"30,710,559.6600","","8,613,857.5100","","15,874,141.4900","","170,428.9600","","37,477,788.2100","","4,937,557.3200",NA,"41,631,464.5900","","539,959.3200","","-46,197,977.9000","","-15,640,940.9000",NA,"-167,193,984.4700","","-13,709,434.5900","","-134,082,505.9500","-5,670,000.0000","-8,140,956.0200","-11,695,000.0000","22,585,424.6800","-6,667,733.1100","5,459,187.5200","1,490,086.0600","3,477,234.6100","-12,460,918.0400","-22,532,435.6000","-24,045,149.7100","17,079,925.7500","-9,610,886.0300","-8,726,564.0700","-15,285,542.4400","1,206,070.7200","-12,813,213.7500","-17,171,301.5500","-21,524,329.8400","9,883,973.8300","43,687.5600","10,201,541.0100","15,928,147.2700","22,914,691.8100","-2,877,838.4300","-5,719,532.3700","-9,758,207.2000","19,050,647.8900","-6,503,329.5500","547,811.1500","-2,549,339.1100","-21,035,507.9800","1,251,170.2300","14,945,627.7200","10,265,516.0900","18,987,799.6500","-1,601,547.3000","-2,333,340.7800","-4,062,562.4000","1,822,045.8600","13,939,026.3400","10,609,024.6400","7,941,607.7700","22,219,433.3100","16,313,003.6700","13,514,274.1100","11,341,338.7600","5,408,325.3600","-2,992,788.3900","-5,811,494.2600","21,470,815.2000","20,759,352.1900","-2,224,699.5700","-5,550,805.8400","752,948.3900","244,984,540.1400","-35,177,483.5100","10,989,461.8500","174,924,269.0000","290,250,387.5800","-21,572,650.4400","87,832,201.7700","240,792,484.4100","327,812,001.1400","-41,127,596.3600","82,295,662.3000","284,139,156.9500","401,941,022.3000"
"195","000619.SZ","建筑材料","","","","4,937,000.0000","","",NA,"9,040,000.0000","","","","11,320,000.0000","","","","14,040,024.2200","","3,973,144.1700",NA,"12,325,695.6400","","3,377,560.7400","","10,481,435.5700","","1,850,134.3700",NA,"10,573,139.7100","","52,744,619.1300","","98,144,649.1800","","72,635,463.7000","119,546,978.9500","190,673,977.1100","54,291,438.7600","101,046,475.0100","147,820,255.5700","194,346,566.5300","31,612,190.7800","41,591,553.7100","55,626,136.1400","59,558,200.1700","3,825,170.2000","17,146,058.9200","46,062,919.9400","62,548,998.4200","24,811,335.8100","85,509,124.1600","136,669,457.0100","161,310,474.8000","25,545,225.8200","91,109,983.3700","146,819,926.9300","169,638,377.9900","31,220,484.6800","89,010,827.9700","119,171,364.1500","129,480,893.6000","19,104,781.0300","59,372,324.6500","69,416,615.4400","87,289,126.4800","30,667,901.6300","131,063,826.3300","223,297,427.5100","250,985,841.2300","33,732,066.1600","110,370,038.9600","157,415,978.0000","183,513,370.2400","6,483,845.3700","36,788,107.3800","54,476,375.4700","115,583,163.5100","30,254,333.4400","101,646,612.5600","183,196,865.6200","231,177,057.7100","20,085,824.4300","75,325,711.0900","135,614,799.0200","160,815,588.9300","18,687,149.7200","72,844,488.7900","115,413,653.8100","122,053,081.3300","10,057,605.5600","49,644,289.8500","87,041,423.1200","117,807,832.0200","11,435,668.7900","62,555,201.1800","104,002,984.4000","87,129,773.5300","-8,120,439.3200","3,977,153.8600","9,404,781.9200","14,781,622.5500"
"230","000672.SZ","建筑材料","","","","","","",NA,"4,626,214.5500","","","","6,213,950.0200","","","","8,557,645.5900","","5,021,035.3600",NA,"10,005,803.8700","","2,174,446.0000","","10,025,497.5800","","-5,565,936.5000",NA,"14,182,735.9200","","5,383,834.3100","","11,926,425.3700","","4,907,974.5200","","9,817,277.2400","919,517.9800","3,007,274.6700","5,034,304.5700","-54,662,376.2000","-4,287,268.3400","-3,136,093.9900","-3,608,151.5100","5,999,614.3000","4,224,670.5000","2,996,144.8100","-398,903.5500","-106,430,565.1800","-1,443,321.9100","414,773.3800","252,127.3100","-114,227,540.5900","-3,435,338.3800","345,121.4200","-18,363,837.6500","-56,279,277.8000","-3,744,180.4600","-6,785,151.4100","-4,517,302.9200","30,428,442.3700","330,114.0400","-1,902,963.3300","-4,190,450.7600","5,638,886.7700","-2,286,722.5100","-4,213,230.9700","-6,035,771.8600","3,573,315.3000","-2,968,862.3500","-5,055,898.9500","-7,019,718.5400","4,636,070.7600","-2,333,154.6700","-3,963,540.1700","-5,534,924.3400","3,121,152.0800","-1,972,388.5400","-2,901,772.7000","802,262.3800","913,564.1400","2,544,010.1100","36,285,516.3500","79,717,141.3600","260,663,357.3500","114,118,044.0700","205,131,730.6400","301,379,587.8300","369,438,029.4600","29,194,832.6500","53,109,065.3000","35,302,682.5900","60,073,709.0600","-34,946,955.4000","13,319,770.9600","79,727,750.6500","139,047,846.7400","82,665,544.5600","255,318,485.5300","454,068,524.3300","767,836,046.7900"
"308","000786.SZ","建筑材料","","","","","","",NA,"41,855,474.0000","","","","44,081,141.0000","","","","49,088,518.0000","","38,720,981.6400",NA,"93,477,568.0000","","31,222,818.2100","","81,049,604.8600","","19,115,461.6400",NA,"66,204,801.9500","","26,191,422.7900","","82,011,758.6500","","35,321,955.2700","","92,029,811.6400","10,946,239.7200","40,837,722.6700","58,669,716.9700","89,205,124.6600","10,277,570.7800","19,127,546.1200","40,998,532.3600","65,162,736.2700","9,345,490.7800","23,226,266.0400","48,094,756.2100","82,901,378.4300","14,679,061.2100","50,611,792.2500","120,052,231.8900","162,616,528.5100","25,386,509.2600","77,040,029.2500","140,151,428.1300","203,641,916.4800","30,082,356.6700","104,493,491.1600","168,112,985.8400","254,695,143.1300","107,357,391.5100","124,208,170.8100","159,501,273.9000","291,330,000.9900","32,139,834.1800","163,783,591.6000","291,414,642.0700","463,349,845.9300","44,808,190.2100","223,039,433.1500","381,446,028.0800","610,976,188.1600","55,096,819.3200","277,948,644.3400","474,887,919.5100","751,872,548.9600","68,672,163.2300","323,510,787.3100","606,402,987.0000","935,062,610.5000","106,429,667.3300","440,860,061.9900","797,250,474.2800","1,258,063,632.8600","131,734,496.0600","566,412,865.4100","954,421,750.7100","1,469,126,562.9900","115,384,997.0500","528,470,948.4400","858,367,507.6700","1,215,781,009.5700","138,188,415.5200","610,308,190.2700","1,039,628,785.6400","1,465,397,146.4700","151,562,320.9900","687,218,378.8600","1,575,776,032.1400","2,354,897,830.3600"
"310","000789.SZ","建筑材料","","","","","","",NA,"42,611,309.0200","","","","40,788,375.0000","","","","38,504,276.0500","6,938,718.0000","",NA,"42,521,288.2800","","16,556,922.6400","","48,709,692.6900","","31,645,393.3900",NA,"41,452,573.0100","","23,680,077.4300","","42,232,157.3200","","12,377,256.2500","","30,057,778.6400","3,410,453.1400","9,785,170.2800","12,991,261.4100","15,393,491.4400","3,231,924.9100","6,488,357.5800","14,046,624.2500","42,657,368.1600","12,853,214.3900","14,384,301.6000","7,873,578.3100","-48,647,075.0100","-31,221,182.5700","-68,597,593.6300","-95,852,692.2900","-138,148,774.4000","1,500,661.2000","2,133,552.0100","3,613,023.1300","8,143,493.8100","2,220,282.8200","6,304,457.1200","13,450,356.8900","32,699,156.4100","26,263,735.5400","50,664,777.5600","57,456,805.4400","94,110,567.5800","6,690,692.1200","19,484,573.9000","48,760,512.0300","136,076,099.7400","16,039,266.3100","-30,176,323.5800","2,520,007.9500","290,421,648.7300","148,308,897.8300","461,693,423.6500","659,055,277.4200","783,064,807.2500","65,123,404.9500","77,284,404.2900","106,677,926.0300","281,007,025.7800","59,205,372.5300","213,924,726.4800","387,506,270.5600","697,989,310.1300","159,599,703.5600","397,015,944.9200","599,387,011.9700","876,013,377.0900","84,256,617.3200","120,682,450.6800","176,942,395.5700","342,916,784.7500","4,249,942.4400","102,967,862.0600","272,478,482.1400","386,602,484.3000","38,891,182.3300","204,085,467.6300","469,391,648.8800","842,021,342.9800"
"366","000877.SZ","建筑材料","","","","","","",NA,"","","","","19,103,874.8300","","","","21,677,976.0100","","",NA,"20,400,511.6300","","","","41,198,468.7400","","17,206,348.4900",NA,"47,782,280.2300","","25,956,843.2600","","70,455,705.7900","","49,959,428.4900","","92,417,371.8500","-14,638,799.4800","48,513,765.1800","125,732,469.8600","101,192,227.9600","-32,122,382.0400","44,630,927.5000","146,768,224.9700","102,025,940.1000","-34,667,087.3500","-202,112,532.3300","-115,770,823.4200","-235,810,990.8700","-75,780,367.2500","-32,148,512.6600","25,481,438.7300","15,286,575.6900","-51,107,741.4000","29,817,711.4000","88,677,746.4600","96,721,427.5300","-40,514,394.9600","29,536,819.1600","140,011,690.6300","173,088,648.7800","-43,239,740.7300","86,800,021.8700","283,301,250.5900","306,255,714.5100","-47,181,068.4200","173,616,325.7900","396,341,654.7800","436,763,562.0800","-63,628,149.2600","189,928,284.8100","615,962,749.8800","675,372,216.4700","-17,653,789.4500","463,542,868.7000","1,189,933,202.9800","1,404,025,829.5300","-169,541,589.3200","163,857,266.9900","462,714,927.4000","481,938,456.9300","-232,261,426.8200","93,574,429.3400","377,991,612.1400","381,603,702.9500","-188,391,441.1100","-22,328,043.9300","325,838,376.0900","254,795,598.4500","-291,841,940.7900","-323,255,394.5300","-420,071,078.2300","-669,742,711.1000","-232,746,039.6700","-139,482,266.9700","-27,877,940.8700","18,994,904.1800","-159,875,007.0100","14,457,902.1300","346,334,393.3500","281,538,814.4700"
